GCF_016757555.1,GCF_900478295.1,GCF_021729605.1,GCF_017821635.1,GCF_016755675.1
GCF_016757555.1;protein_177,GCF_900478295.1;protein_370,GCF_021729605.1;protein_170,GCF_017821635.1;protein_181,GCF_016755675.1;protein_176
GCF_016757555.1;protein_179,GCF_900478295.1;protein_399,GCF_021729605.1;protein_173,GCF_017821635.1;protein_182,GCF_016755675.1;protein_178
GCF_016757555.1;protein_18,GCF_900478295.1;protein_205,GCF_021729605.1;protein_18,GCF_017821635.1;protein_18,GCF_016755675.1;protein_17
GCF_016757555.1;protein_180,GCF_900478295.1;protein_400,GCF_021729605.1;protein_174,GCF_017821635.1;protein_183,GCF_016755675.1;protein_179
GCF_016757555.1;protein_181,GCF_900478295.1;protein_401,GCF_021729605.1;protein_175,GCF_017821635.1;protein_184,GCF_016755675.1;protein_180
GCF_016757555.1;protein_182,GCF_900478295.1;protein_402,GCF_021729605.1;protein_176,GCF_017821635.1;protein_185,GCF_016755675.1;protein_181
GCF_016757555.1;protein_183,GCF_900478295.1;protein_403,GCF_021729605.1;protein_177,GCF_017821635.1;protein_186,GCF_016755675.1;protein_182
GCF_016757555.1;protein_184,GCF_900478295.1;protein_404,GCF_021729605.1;protein_178,GCF_017821635.1;protein_187,GCF_016755675.1;protein_183
GCF_016757555.1;protein_185,GCF_900478295.1;protein_405,GCF_021729605.1;protein_179,GCF_017821635.1;protein_188,GCF_016755675.1;protein_184
GCF_016757555.1;protein_186,GCF_900478295.1;protein_406,GCF_021729605.1;protein_180,GCF_017821635.1;protein_189,GCF_016755675.1;protein_185
GCF_016757555.1;protein_187,GCF_900478295.1;protein_407,GCF_021729605.1;protein_206,GCF_017821635.1;protein_190,GCF_016755675.1;protein_186
GCF_016757555.1;protein_188,GCF_900478295.1;protein_408,GCF_021729605.1;protein_207,GCF_017821635.1;protein_191,GCF_016755675.1;protein_187
GCF_016757555.1;protein_189,GCF_900478295.1;protein_409,GCF_021729605.1;protein_208,GCF_017821635.1;protein_192,GCF_016755675.1;protein_188
GCF_016757555.1;protein_19,GCF_900478295.1;protein_206,GCF_021729605.1;protein_19,GCF_017821635.1;protein_19,GCF_016755675.1;protein_18
GCF_016757555.1;protein_190,GCF_900478295.1;protein_410,GCF_021729605.1;protein_209,GCF_017821635.1;protein_193,GCF_016755675.1;protein_189
GCF_016757555.1;protein_191,GCF_900478295.1;protein_411,GCF_021729605.1;protein_210,GCF_017821635.1;protein_194,GCF_016755675.1;protein_190
GCF_016757555.1;protein_192,GCF_900478295.1;protein_412,GCF_021729605.1;protein_211,GCF_017821635.1;protein_195,GCF_016755675.1;protein_191
GCF_016757555.1;protein_193,GCF_900478295.1;protein_413,GCF_021729605.1;protein_212,GCF_017821635.1;protein_196,GCF_016755675.1;protein_192
GCF_016757555.1;protein_194,GCF_900478295.1;protein_414,GCF_021729605.1;protein_215,GCF_017821635.1;protein_198,GCF_016755675.1;protein_193
GCF_016757555.1;protein_196,GCF_900478295.1;protein_416,GCF_021729605.1;protein_218,GCF_017821635.1;protein_200,GCF_016755675.1;protein_195
GCF_016757555.1;protein_197,GCF_900478295.1;protein_417,GCF_021729605.1;protein_219,GCF_017821635.1;protein_201,GCF_016755675.1;protein_196
GCF_016757555.1;protein_199,GCF_900478295.1;protein_419,GCF_021729605.1;protein_221,GCF_017821635.1;protein_202,GCF_016755675.1;protein_198
GCF_016757555.1;protein_2,GCF_900478295.1;protein_189,GCF_021729605.1;protein_2,GCF_017821635.1;protein_2,GCF_016755675.1;protein_2
GCF_016757555.1;protein_200,GCF_900478295.1;protein_420,GCF_021729605.1;protein_222,GCF_017821635.1;protein_203,GCF_016755675.1;protein_199
GCF_016757555.1;protein_202,GCF_900478295.1;protein_422,GCF_021729605.1;protein_223,GCF_017821635.1;protein_205,GCF_016755675.1;protein_201
GCF_016757555.1;protein_203,GCF_900478295.1;protein_423,GCF_021729605.1;protein_224,GCF_017821635.1;protein_206,GCF_016755675.1;protein_202
GCF_016757555.1;protein_204,GCF_900478295.1;protein_424,GCF_021729605.1;protein_225,GCF_017821635.1;protein_207,GCF_016755675.1;protein_203
GCF_016757555.1;protein_205,GCF_900478295.1;protein_425,GCF_021729605.1;protein_226,GCF_017821635.1;protein_208,GCF_016755675.1;protein_204
GCF_016757555.1;protein_206,GCF_900478295.1;protein_426,GCF_021729605.1;protein_227,GCF_017821635.1;protein_209,GCF_016755675.1;protein_205
GCF_016757555.1;protein_209,GCF_900478295.1;protein_429,GCF_021729605.1;protein_228,GCF_017821635.1;protein_212,GCF_016755675.1;protein_208
GCF_016757555.1;protein_210,GCF_900478295.1;protein_430,GCF_021729605.1;protein_229,GCF_017821635.1;protein_213,GCF_016755675.1;protein_209
GCF_016757555.1;protein_211,GCF_900478295.1;protein_431,GCF_021729605.1;protein_230,GCF_017821635.1;protein_214,GCF_016755675.1;protein_210
GCF_016757555.1;protein_212,GCF_900478295.1;protein_432,GCF_021729605.1;protein_231,GCF_017821635.1;protein_215,GCF_016755675.1;protein_211
GCF_016757555.1;protein_213,GCF_900478295.1;protein_433,GCF_021729605.1;protein_232,GCF_017821635.1;protein_216,GCF_016755675.1;protein_212
GCF_016757555.1;protein_214,GCF_900478295.1;protein_434,GCF_021729605.1;protein_233,GCF_017821635.1;protein_217,GCF_016755675.1;protein_213
GCF_016757555.1;protein_215,GCF_900478295.1;protein_435,GCF_021729605.1;protein_234,GCF_017821635.1;protein_218,GCF_016755675.1;protein_214
GCF_016757555.1;protein_217,GCF_900478295.1;protein_436,GCF_021729605.1;protein_235,GCF_017821635.1;protein_219,GCF_016755675.1;protein_216
GCF_016757555.1;protein_219,GCF_900478295.1;protein_1495,GCF_021729605.1;protein_237,GCF_017821635.1;protein_221,GCF_016755675.1;protein_218
GCF_016757555.1;protein_22,GCF_900478295.1;protein_208,GCF_021729605.1;protein_21,GCF_017821635.1;protein_21,GCF_016755675.1;protein_21
GCF_016757555.1;protein_220,GCF_900478295.1;protein_1494,GCF_021729605.1;protein_238,GCF_017821635.1;protein_222,GCF_016755675.1;protein_219
GCF_016757555.1;protein_221,GCF_900478295.1;protein_1493,GCF_021729605.1;protein_239,GCF_017821635.1;protein_223,GCF_016755675.1;protein_220
GCF_016757555.1;protein_222,GCF_900478295.1;protein_1492,GCF_021729605.1;protein_240,GCF_017821635.1;protein_224,GCF_016755675.1;protein_221
GCF_016757555.1;protein_223,GCF_900478295.1;protein_1491,GCF_021729605.1;protein_241,GCF_017821635.1;protein_225,GCF_016755675.1;protein_222
GCF_016757555.1;protein_224,GCF_900478295.1;protein_1490,GCF_021729605.1;protein_242,GCF_017821635.1;protein_226,GCF_016755675.1;protein_223
GCF_016757555.1;protein_225,GCF_900478295.1;protein_1489,GCF_021729605.1;protein_243,GCF_017821635.1;protein_227,GCF_016755675.1;protein_224
GCF_016757555.1;protein_226,GCF_900478295.1;protein_1488,GCF_021729605.1;protein_244,GCF_017821635.1;protein_228,GCF_016755675.1;protein_225
GCF_016757555.1;protein_227,GCF_900478295.1;protein_1487,GCF_021729605.1;protein_245,GCF_017821635.1;protein_229,GCF_016755675.1;protein_226
GCF_016757555.1;protein_228,GCF_900478295.1;protein_1486,GCF_021729605.1;protein_246,GCF_017821635.1;protein_230,GCF_016755675.1;protein_227
GCF_016757555.1;protein_229,GCF_900478295.1;protein_1485,GCF_021729605.1;protein_247,GCF_017821635.1;protein_231,GCF_016755675.1;protein_228
GCF_016757555.1;protein_23,GCF_900478295.1;protein_209,GCF_021729605.1;protein_22,GCF_017821635.1;protein_22,GCF_016755675.1;protein_22
GCF_016757555.1;protein_230,GCF_900478295.1;protein_1484,GCF_021729605.1;protein_248,GCF_017821635.1;protein_232,GCF_016755675.1;protein_229
GCF_016757555.1;protein_231,GCF_900478295.1;protein_1483,GCF_021729605.1;protein_249,GCF_017821635.1;protein_233,GCF_016755675.1;protein_230
GCF_016757555.1;protein_232,GCF_900478295.1;protein_1482,GCF_021729605.1;protein_250,GCF_017821635.1;protein_234,GCF_016755675.1;protein_231
GCF_016757555.1;protein_233,GCF_900478295.1;protein_1481,GCF_021729605.1;protein_251,GCF_017821635.1;protein_235,GCF_016755675.1;protein_232
GCF_016757555.1;protein_234,GCF_900478295.1;protein_1480,GCF_021729605.1;protein_252,GCF_017821635.1;protein_236,GCF_016755675.1;protein_233
GCF_016757555.1;protein_235,GCF_900478295.1;protein_1479,GCF_021729605.1;protein_253,GCF_017821635.1;protein_237,GCF_016755675.1;protein_234
GCF_016757555.1;protein_236,GCF_900478295.1;protein_1478,GCF_021729605.1;protein_254,GCF_017821635.1;protein_238,GCF_016755675.1;protein_235
GCF_016757555.1;protein_237,GCF_900478295.1;protein_1477,GCF_021729605.1;protein_255,GCF_017821635.1;protein_239,GCF_016755675.1;protein_236
GCF_016757555.1;protein_238,GCF_900478295.1;protein_1476,GCF_021729605.1;protein_256,GCF_017821635.1;protein_240,GCF_016755675.1;protein_237
GCF_016757555.1;protein_239,GCF_900478295.1;protein_1475,GCF_021729605.1;protein_257,GCF_017821635.1;protein_241,GCF_016755675.1;protein_238
GCF_016757555.1;protein_24,GCF_900478295.1;protein_210,GCF_021729605.1;protein_23,GCF_017821635.1;protein_23,GCF_016755675.1;protein_23
GCF_016757555.1;protein_240,GCF_900478295.1;protein_1474,GCF_021729605.1;protein_258,GCF_017821635.1;protein_242,GCF_016755675.1;protein_239
GCF_016757555.1;protein_241,GCF_900478295.1;protein_1473,GCF_021729605.1;protein_259,GCF_017821635.1;protein_243,GCF_016755675.1;protein_240
GCF_016757555.1;protein_242,GCF_900478295.1;protein_1472,GCF_021729605.1;protein_260,GCF_017821635.1;protein_244,GCF_016755675.1;protein_241
GCF_016757555.1;protein_243,GCF_900478295.1;protein_1471,GCF_021729605.1;protein_261,GCF_017821635.1;protein_245,GCF_016755675.1;protein_242
GCF_016757555.1;protein_244,GCF_900478295.1;protein_1470,GCF_021729605.1;protein_262,GCF_017821635.1;protein_246,GCF_016755675.1;protein_243
GCF_016757555.1;protein_245,GCF_900478295.1;protein_1469,GCF_021729605.1;protein_263,GCF_017821635.1;protein_247,GCF_016755675.1;protein_244
GCF_016757555.1;protein_246,GCF_900478295.1;protein_1468,GCF_021729605.1;protein_264,GCF_017821635.1;protein_248,GCF_016755675.1;protein_245
GCF_016757555.1;protein_247,GCF_900478295.1;protein_1467,GCF_021729605.1;protein_265,GCF_017821635.1;protein_249,GCF_016755675.1;protein_246
GCF_016757555.1;protein_248,GCF_900478295.1;protein_1466,GCF_021729605.1;protein_266,GCF_017821635.1;protein_250,GCF_016755675.1;protein_247
GCF_016757555.1;protein_249,GCF_900478295.1;protein_1465,GCF_021729605.1;protein_267,GCF_017821635.1;protein_251,GCF_016755675.1;protein_248
GCF_016757555.1;protein_25,GCF_900478295.1;protein_211,GCF_021729605.1;protein_24,GCF_017821635.1;protein_24,GCF_016755675.1;protein_24
GCF_016757555.1;protein_252,GCF_900478295.1;protein_1461,GCF_021729605.1;protein_270,GCF_017821635.1;protein_254,GCF_016755675.1;protein_249
GCF_016757555.1;protein_253,GCF_900478295.1;protein_1460,GCF_021729605.1;protein_271,GCF_017821635.1;protein_255,GCF_016755675.1;protein_250
GCF_016757555.1;protein_254,GCF_900478295.1;protein_1459,GCF_021729605.1;protein_272,GCF_017821635.1;protein_256,GCF_016755675.1;protein_251
GCF_016757555.1;protein_255,GCF_900478295.1;protein_1458,GCF_021729605.1;protein_273,GCF_017821635.1;protein_257,GCF_016755675.1;protein_252
GCF_016757555.1;protein_256,GCF_900478295.1;protein_1457,GCF_021729605.1;protein_274,GCF_017821635.1;protein_258,GCF_016755675.1;protein_253
GCF_016757555.1;protein_257,GCF_900478295.1;protein_1456,GCF_021729605.1;protein_275,GCF_017821635.1;protein_259,GCF_016755675.1;protein_254
GCF_016757555.1;protein_258,GCF_900478295.1;protein_1455,GCF_021729605.1;protein_276,GCF_017821635.1;protein_260,GCF_016755675.1;protein_255
GCF_016757555.1;protein_259,GCF_900478295.1;protein_1454,GCF_021729605.1;protein_277,GCF_017821635.1;protein_261,GCF_016755675.1;protein_256
GCF_016757555.1;protein_260,GCF_900478295.1;protein_1453,GCF_021729605.1;protein_278,GCF_017821635.1;protein_262,GCF_016755675.1;protein_257
GCF_016757555.1;protein_261,GCF_900478295.1;protein_1452,GCF_021729605.1;protein_279,GCF_017821635.1;protein_263,GCF_016755675.1;protein_258
GCF_016757555.1;protein_262,GCF_900478295.1;protein_1451,GCF_021729605.1;protein_280,GCF_017821635.1;protein_264,GCF_016755675.1;protein_259
GCF_016757555.1;protein_263,GCF_900478295.1;protein_1450,GCF_021729605.1;protein_281,GCF_017821635.1;protein_265,GCF_016755675.1;protein_260
GCF_016757555.1;protein_264,GCF_900478295.1;protein_1449,GCF_021729605.1;protein_282,GCF_017821635.1;protein_266,GCF_016755675.1;protein_261
GCF_016757555.1;protein_265,GCF_900478295.1;protein_1448,GCF_021729605.1;protein_283,GCF_017821635.1;protein_267,GCF_016755675.1;protein_262
GCF_016757555.1;protein_266,GCF_900478295.1;protein_1447,GCF_021729605.1;protein_284,GCF_017821635.1;protein_268,GCF_016755675.1;protein_263
GCF_016757555.1;protein_267,GCF_900478295.1;protein_1446,GCF_021729605.1;protein_285,GCF_017821635.1;protein_269,GCF_016755675.1;protein_264
GCF_016757555.1;protein_268,GCF_900478295.1;protein_1445,GCF_021729605.1;protein_286,GCF_017821635.1;protein_270,GCF_016755675.1;protein_265
GCF_016757555.1;protein_269,GCF_900478295.1;protein_1444,GCF_021729605.1;protein_287,GCF_017821635.1;protein_271,GCF_016755675.1;protein_266
GCF_016757555.1;protein_27,GCF_900478295.1;protein_213,GCF_021729605.1;protein_26,GCF_017821635.1;protein_26,GCF_016755675.1;protein_26
GCF_016757555.1;protein_270,GCF_900478295.1;protein_1443,GCF_021729605.1;protein_288,GCF_017821635.1;protein_272,GCF_016755675.1;protein_267
GCF_016757555.1;protein_271,GCF_900478295.1;protein_1442,GCF_021729605.1;protein_289,GCF_017821635.1;protein_273,GCF_016755675.1;protein_268
GCF_016757555.1;protein_272,GCF_900478295.1;protein_1441,GCF_021729605.1;protein_290,GCF_017821635.1;protein_274,GCF_016755675.1;protein_269
GCF_016757555.1;protein_273,GCF_900478295.1;protein_1440,GCF_021729605.1;protein_291,GCF_017821635.1;protein_275,GCF_016755675.1;protein_270
GCF_016757555.1;protein_274,GCF_900478295.1;protein_1439,GCF_021729605.1;protein_292,GCF_017821635.1;protein_276,GCF_016755675.1;protein_271
GCF_016757555.1;protein_275,GCF_900478295.1;protein_1438,GCF_021729605.1;protein_293,GCF_017821635.1;protein_277,GCF_016755675.1;protein_272
GCF_016757555.1;protein_276,GCF_900478295.1;protein_1437,GCF_021729605.1;protein_294,GCF_017821635.1;protein_278,GCF_016755675.1;protein_273
GCF_016757555.1;protein_277,GCF_900478295.1;protein_1436,GCF_021729605.1;protein_295,GCF_017821635.1;protein_279,GCF_016755675.1;protein_274
GCF_016757555.1;protein_278,GCF_900478295.1;protein_1435,GCF_021729605.1;protein_296,GCF_017821635.1;protein_280,GCF_016755675.1;protein_275
GCF_016757555.1;protein_279,GCF_900478295.1;protein_1434,GCF_021729605.1;protein_297,GCF_017821635.1;protein_281,GCF_016755675.1;protein_276
GCF_016757555.1;protein_280,GCF_900478295.1;protein_1433,GCF_021729605.1;protein_298,GCF_017821635.1;protein_282,GCF_016755675.1;protein_277
GCF_016757555.1;protein_281,GCF_900478295.1;protein_1432,GCF_021729605.1;protein_299,GCF_017821635.1;protein_283,GCF_016755675.1;protein_278
GCF_016757555.1;protein_282,GCF_900478295.1;protein_1431,GCF_021729605.1;protein_300,GCF_017821635.1;protein_284,GCF_016755675.1;protein_279
GCF_016757555.1;protein_283,GCF_900478295.1;protein_1430,GCF_021729605.1;protein_301,GCF_017821635.1;protein_285,GCF_016755675.1;protein_280
GCF_016757555.1;protein_284,GCF_900478295.1;protein_1429,GCF_021729605.1;protein_302,GCF_017821635.1;protein_286,GCF_016755675.1;protein_281
GCF_016757555.1;protein_285,GCF_900478295.1;protein_1428,GCF_021729605.1;protein_303,GCF_017821635.1;protein_287,GCF_016755675.1;protein_282
GCF_016757555.1;protein_286,GCF_900478295.1;protein_1427,GCF_021729605.1;protein_304,GCF_017821635.1;protein_288,GCF_016755675.1;protein_283
GCF_016757555.1;protein_287,GCF_900478295.1;protein_1426,GCF_021729605.1;protein_305,GCF_017821635.1;protein_289,GCF_016755675.1;protein_284
GCF_016757555.1;protein_288,GCF_900478295.1;protein_1425,GCF_021729605.1;protein_306,GCF_017821635.1;protein_290,GCF_016755675.1;protein_285
GCF_016757555.1;protein_289,GCF_900478295.1;protein_1424,GCF_021729605.1;protein_307,GCF_017821635.1;protein_291,GCF_016755675.1;protein_286
GCF_016757555.1;protein_29,GCF_900478295.1;protein_215,GCF_021729605.1;protein_28,GCF_017821635.1;protein_28,GCF_016755675.1;protein_28
GCF_016757555.1;protein_290,GCF_900478295.1;protein_1423,GCF_021729605.1;protein_308,GCF_017821635.1;protein_292,GCF_016755675.1;protein_287
GCF_016757555.1;protein_291,GCF_900478295.1;protein_1422,GCF_021729605.1;protein_309,GCF_017821635.1;protein_293,GCF_016755675.1;protein_288
GCF_016757555.1;protein_292,GCF_900478295.1;protein_1421,GCF_021729605.1;protein_310,GCF_017821635.1;protein_294,GCF_016755675.1;protein_289
GCF_016757555.1;protein_293,GCF_900478295.1;protein_1420,GCF_021729605.1;protein_311,GCF_017821635.1;protein_295,GCF_016755675.1;protein_290
GCF_016757555.1;protein_294,GCF_900478295.1;protein_1419,GCF_021729605.1;protein_312,GCF_017821635.1;protein_296,GCF_016755675.1;protein_291
GCF_016757555.1;protein_295,GCF_900478295.1;protein_1418,GCF_021729605.1;protein_313,GCF_017821635.1;protein_297,GCF_016755675.1;protein_292
GCF_016757555.1;protein_296,GCF_900478295.1;protein_1417,GCF_021729605.1;protein_314,GCF_017821635.1;protein_298,GCF_016755675.1;protein_293
GCF_016757555.1;protein_297,GCF_900478295.1;protein_1416,GCF_021729605.1;protein_315,GCF_017821635.1;protein_299,GCF_016755675.1;protein_294
GCF_016757555.1;protein_298,GCF_900478295.1;protein_1415,GCF_021729605.1;protein_316,GCF_017821635.1;protein_300,GCF_016755675.1;protein_295
GCF_016757555.1;protein_299,GCF_900478295.1;protein_1414,GCF_021729605.1;protein_317,GCF_017821635.1;protein_301,GCF_016755675.1;protein_296
GCF_016757555.1;protein_3,GCF_900478295.1;protein_190,GCF_021729605.1;protein_3,GCF_017821635.1;protein_3,GCF_016755675.1;protein_3
GCF_016757555.1;protein_30,GCF_900478295.1;protein_216,GCF_021729605.1;protein_29,GCF_017821635.1;protein_29,GCF_016755675.1;protein_29
GCF_016757555.1;protein_300,GCF_900478295.1;protein_1413,GCF_021729605.1;protein_318,GCF_017821635.1;protein_302,GCF_016755675.1;protein_297
GCF_016757555.1;protein_303,GCF_900478295.1;protein_1410,GCF_021729605.1;protein_321,GCF_017821635.1;protein_305,GCF_016755675.1;protein_298
GCF_016757555.1;protein_304,GCF_900478295.1;protein_1409,GCF_021729605.1;protein_322,GCF_017821635.1;protein_306,GCF_016755675.1;protein_299
GCF_016757555.1;protein_305,GCF_900478295.1;protein_1408,GCF_021729605.1;protein_323,GCF_017821635.1;protein_307,GCF_016755675.1;protein_300
GCF_016757555.1;protein_306,GCF_900478295.1;protein_1404,GCF_021729605.1;protein_326,GCF_017821635.1;protein_310,GCF_016755675.1;protein_301
GCF_016757555.1;protein_307,GCF_900478295.1;protein_1403,GCF_021729605.1;protein_327,GCF_017821635.1;protein_311,GCF_016755675.1;protein_302
GCF_016757555.1;protein_308,GCF_900478295.1;protein_1402,GCF_021729605.1;protein_328,GCF_017821635.1;protein_312,GCF_016755675.1;protein_303
GCF_016757555.1;protein_309,GCF_900478295.1;protein_1401,GCF_021729605.1;protein_329,GCF_017821635.1;protein_313,GCF_016755675.1;protein_304
GCF_016757555.1;protein_31,GCF_900478295.1;protein_217,GCF_021729605.1;protein_30,GCF_017821635.1;protein_30,GCF_016755675.1;protein_30
GCF_016757555.1;protein_311,GCF_900478295.1;protein_1399,GCF_021729605.1;protein_331,GCF_017821635.1;protein_315,GCF_016755675.1;protein_306
GCF_016757555.1;protein_312,GCF_900478295.1;protein_1398,GCF_021729605.1;protein_332,GCF_017821635.1;protein_316,GCF_016755675.1;protein_307
GCF_016757555.1;protein_313,GCF_900478295.1;protein_1397,GCF_021729605.1;protein_333,GCF_017821635.1;protein_317,GCF_016755675.1;protein_308
GCF_016757555.1;protein_314,GCF_900478295.1;protein_1396,GCF_021729605.1;protein_334,GCF_017821635.1;protein_318,GCF_016755675.1;protein_309
GCF_016757555.1;protein_315,GCF_900478295.1;protein_1395,GCF_021729605.1;protein_335,GCF_017821635.1;protein_319,GCF_016755675.1;protein_310
GCF_016757555.1;protein_316,GCF_900478295.1;protein_1394,GCF_021729605.1;protein_336,GCF_017821635.1;protein_320,GCF_016755675.1;protein_311
GCF_016757555.1;protein_317,GCF_900478295.1;protein_1393,GCF_021729605.1;protein_337,GCF_017821635.1;protein_321,GCF_016755675.1;protein_312
GCF_016757555.1;protein_318,GCF_900478295.1;protein_1392,GCF_021729605.1;protein_338,GCF_017821635.1;protein_322,GCF_016755675.1;protein_313
GCF_016757555.1;protein_319,GCF_900478295.1;protein_1391,GCF_021729605.1;protein_339,GCF_017821635.1;protein_323,GCF_016755675.1;protein_314
GCF_016757555.1;protein_32,GCF_900478295.1;protein_218,GCF_021729605.1;protein_31,GCF_017821635.1;protein_31,GCF_016755675.1;protein_31
GCF_016757555.1;protein_320,GCF_900478295.1;protein_1390,GCF_021729605.1;protein_340,GCF_017821635.1;protein_324,GCF_016755675.1;protein_315
GCF_016757555.1;protein_321,GCF_900478295.1;protein_1389,GCF_021729605.1;protein_341,GCF_017821635.1;protein_325,GCF_016755675.1;protein_316
GCF_016757555.1;protein_322,GCF_900478295.1;protein_1388,GCF_021729605.1;protein_342,GCF_017821635.1;protein_326,GCF_016755675.1;protein_317
GCF_016757555.1;protein_323,GCF_900478295.1;protein_1387,GCF_021729605.1;protein_343,GCF_017821635.1;protein_327,GCF_016755675.1;protein_318
GCF_016757555.1;protein_326,GCF_900478295.1;protein_1384,GCF_021729605.1;protein_346,GCF_017821635.1;protein_330,GCF_016755675.1;protein_321
GCF_016757555.1;protein_33,GCF_900478295.1;protein_219,GCF_021729605.1;protein_32,GCF_017821635.1;protein_32,GCF_016755675.1;protein_32
GCF_016757555.1;protein_332,GCF_900478295.1;protein_1383,GCF_021729605.1;protein_347,GCF_017821635.1;protein_331,GCF_016755675.1;protein_327
GCF_016757555.1;protein_333,GCF_900478295.1;protein_1382,GCF_021729605.1;protein_348,GCF_017821635.1;protein_332,GCF_016755675.1;protein_328
GCF_016757555.1;protein_334,GCF_900478295.1;protein_1381,GCF_021729605.1;protein_349,GCF_017821635.1;protein_333,GCF_016755675.1;protein_329
GCF_016757555.1;protein_335,GCF_900478295.1;protein_1380,GCF_021729605.1;protein_350,GCF_017821635.1;protein_334,GCF_016755675.1;protein_330
GCF_016757555.1;protein_336,GCF_900478295.1;protein_1379,GCF_021729605.1;protein_351,GCF_017821635.1;protein_335,GCF_016755675.1;protein_331
GCF_016757555.1;protein_337,GCF_900478295.1;protein_1378,GCF_021729605.1;protein_352,GCF_017821635.1;protein_336,GCF_016755675.1;protein_332
GCF_016757555.1;protein_338,GCF_900478295.1;protein_1377,GCF_021729605.1;protein_353,GCF_017821635.1;protein_337,GCF_016755675.1;protein_333
GCF_016757555.1;protein_339,GCF_900478295.1;protein_1376,GCF_021729605.1;protein_354,GCF_017821635.1;protein_338,GCF_016755675.1;protein_334
GCF_016757555.1;protein_34,GCF_900478295.1;protein_220,GCF_021729605.1;protein_33,GCF_017821635.1;protein_33,GCF_016755675.1;protein_33
GCF_016757555.1;protein_340,GCF_900478295.1;protein_1375,GCF_021729605.1;protein_355,GCF_017821635.1;protein_339,GCF_016755675.1;protein_335
GCF_016757555.1;protein_344,GCF_900478295.1;protein_1371,GCF_021729605.1;protein_359,GCF_017821635.1;protein_343,GCF_016755675.1;protein_339
GCF_016757555.1;protein_345,GCF_900478295.1;protein_1370,GCF_021729605.1;protein_360,GCF_017821635.1;protein_344,GCF_016755675.1;protein_340
GCF_016757555.1;protein_346,GCF_900478295.1;protein_1369,GCF_021729605.1;protein_361,GCF_017821635.1;protein_345,GCF_016755675.1;protein_341
GCF_016757555.1;protein_347,GCF_900478295.1;protein_1368,GCF_021729605.1;protein_362,GCF_017821635.1;protein_346,GCF_016755675.1;protein_342
GCF_016757555.1;protein_348,GCF_900478295.1;protein_1367,GCF_021729605.1;protein_363,GCF_017821635.1;protein_347,GCF_016755675.1;protein_343
GCF_016757555.1;protein_349,GCF_900478295.1;protein_1366,GCF_021729605.1;protein_364,GCF_017821635.1;protein_348,GCF_016755675.1;protein_344
GCF_016757555.1;protein_35,GCF_900478295.1;protein_221,GCF_021729605.1;protein_34,GCF_017821635.1;protein_34,GCF_016755675.1;protein_34
GCF_016757555.1;protein_350,GCF_900478295.1;protein_1365,GCF_021729605.1;protein_365,GCF_017821635.1;protein_349,GCF_016755675.1;protein_345
GCF_016757555.1;protein_351,GCF_900478295.1;protein_1364,GCF_021729605.1;protein_366,GCF_017821635.1;protein_350,GCF_016755675.1;protein_346
GCF_016757555.1;protein_352,GCF_900478295.1;protein_1363,GCF_021729605.1;protein_367,GCF_017821635.1;protein_351,GCF_016755675.1;protein_347
GCF_016757555.1;protein_353,GCF_900478295.1;protein_1362,GCF_021729605.1;protein_368,GCF_017821635.1;protein_352,GCF_016755675.1;protein_348
GCF_016757555.1;protein_354,GCF_900478295.1;protein_1361,GCF_021729605.1;protein_369,GCF_017821635.1;protein_353,GCF_016755675.1;protein_349
GCF_016757555.1;protein_355,GCF_900478295.1;protein_1360,GCF_021729605.1;protein_370,GCF_017821635.1;protein_354,GCF_016755675.1;protein_350
GCF_016757555.1;protein_356,GCF_900478295.1;protein_1359,GCF_021729605.1;protein_371,GCF_017821635.1;protein_355,GCF_016755675.1;protein_351
GCF_016757555.1;protein_359,GCF_900478295.1;protein_1354,GCF_021729605.1;protein_374,GCF_017821635.1;protein_358,GCF_016755675.1;protein_354
GCF_016757555.1;protein_36,GCF_900478295.1;protein_222,GCF_021729605.1;protein_35,GCF_017821635.1;protein_35,GCF_016755675.1;protein_35
GCF_016757555.1;protein_360,GCF_900478295.1;protein_1353,GCF_021729605.1;protein_375,GCF_017821635.1;protein_359,GCF_016755675.1;protein_355
GCF_016757555.1;protein_361,GCF_900478295.1;protein_1352,GCF_021729605.1;protein_376,GCF_017821635.1;protein_360,GCF_016755675.1;protein_356
GCF_016757555.1;protein_363,GCF_900478295.1;protein_1350,GCF_021729605.1;protein_378,GCF_017821635.1;protein_362,GCF_016755675.1;protein_357
GCF_016757555.1;protein_364,GCF_900478295.1;protein_1349,GCF_021729605.1;protein_379,GCF_017821635.1;protein_363,GCF_016755675.1;protein_358
GCF_016757555.1;protein_365,GCF_900478295.1;protein_1348,GCF_021729605.1;protein_380,GCF_017821635.1;protein_364,GCF_016755675.1;protein_359
GCF_016757555.1;protein_366,GCF_900478295.1;protein_1347,GCF_021729605.1;protein_381,GCF_017821635.1;protein_365,GCF_016755675.1;protein_360
GCF_016757555.1;protein_367,GCF_900478295.1;protein_1346,GCF_021729605.1;protein_382,GCF_017821635.1;protein_366,GCF_016755675.1;protein_361
GCF_016757555.1;protein_368,GCF_900478295.1;protein_1345,GCF_021729605.1;protein_383,GCF_017821635.1;protein_367,GCF_016755675.1;protein_362
GCF_016757555.1;protein_369,GCF_900478295.1;protein_1344,GCF_021729605.1;protein_384,GCF_017821635.1;protein_368,GCF_016755675.1;protein_363
