GCF_002953555.1,GCF_010917155.1,GCF_003050665.1,GCF_019974055.1,GCF_022923035.1,GCF_022925215.1,GCF_016748795.1,GCF_017821355.1,GCF_017821275.1,GCF_003636855.2,GCF_030323385.1,GCF_002952575.1,GCF_017821635.1,GCF_006337405.1,GCF_002952635.1,GCF_001653415.1,GCF_022923775.1,GCF_017821475.1,GCF_002906535.1,GCF_051131785.1,GCF_020735805.1,GCF_013122035.1,GCF_002906555.1,GCF_030323485.1,GCF_030062605.1,GCF_022921575.1,GCF_022925945.1,GCF_017821595.1,GCF_002951975.1,GCF_006337745.1
GCF_002953555.1;protein_607,GCF_010917155.1;protein_429,GCF_003050665.1;protein_6,GCF_019974055.1;protein_1027,GCF_022923035.1;protein_801,GCF_022925215.1;protein_789,GCF_016748795.1;protein_591,GCF_017821355.1;protein_606,GCF_017821275.1;protein_585,GCF_003636855.2;protein_1249,GCF_030323385.1;protein_750,GCF_002952575.1;protein_743,GCF_017821635.1;protein_936,GCF_006337405.1;protein_653,GCF_002952635.1;protein_747,GCF_001653415.1;protein_650,GCF_022923775.1;protein_661,GCF_017821475.1;protein_581,GCF_002906535.1;protein_609,GCF_051131785.1;protein_713,GCF_020735805.1;protein_1160,GCF_013122035.1;protein_885,GCF_002906555.1;protein_608,GCF_030323485.1;protein_783,GCF_030062605.1;protein_466,GCF_022921575.1;protein_818,GCF_022925945.1;protein_714,GCF_017821595.1;protein_584,GCF_002951975.1;protein_743,GCF_006337745.1;protein_893
GCF_002953555.1;protein_608,GCF_010917155.1;protein_430,GCF_003050665.1;protein_7,GCF_019974055.1;protein_1028,GCF_022923035.1;protein_800,GCF_022925215.1;protein_788,GCF_016748795.1;protein_592,GCF_017821355.1;protein_607,GCF_017821275.1;protein_586,GCF_003636855.2;protein_1248,GCF_030323385.1;protein_751,GCF_002952575.1;protein_744,GCF_017821635.1;protein_935,GCF_006337405.1;protein_652,GCF_002952635.1;protein_748,GCF_001653415.1;protein_651,GCF_022923775.1;protein_662,GCF_017821475.1;protein_582,GCF_002906535.1;protein_610,GCF_051131785.1;protein_714,GCF_020735805.1;protein_1161,GCF_013122035.1;protein_884,GCF_002906555.1;protein_609,GCF_030323485.1;protein_782,GCF_030062605.1;protein_467,GCF_022921575.1;protein_817,GCF_022925945.1;protein_715,GCF_017821595.1;protein_585,GCF_002951975.1;protein_744,GCF_006337745.1;protein_892
GCF_002953555.1;protein_609,GCF_010917155.1;protein_431,GCF_003050665.1;protein_8,GCF_019974055.1;protein_1029,GCF_022923035.1;protein_799,GCF_022925215.1;protein_787,GCF_016748795.1;protein_593,GCF_017821355.1;protein_608,GCF_017821275.1;protein_587,GCF_003636855.2;protein_1247,GCF_030323385.1;protein_752,GCF_002952575.1;protein_745,GCF_017821635.1;protein_934,GCF_006337405.1;protein_651,GCF_002952635.1;protein_749,GCF_001653415.1;protein_652,GCF_022923775.1;protein_663,GCF_017821475.1;protein_583,GCF_002906535.1;protein_611,GCF_051131785.1;protein_715,GCF_020735805.1;protein_1162,GCF_013122035.1;protein_883,GCF_002906555.1;protein_610,GCF_030323485.1;protein_781,GCF_030062605.1;protein_468,GCF_022921575.1;protein_816,GCF_022925945.1;protein_716,GCF_017821595.1;protein_586,GCF_002951975.1;protein_745,GCF_006337745.1;protein_891
GCF_002953555.1;protein_610,GCF_010917155.1;protein_432,GCF_003050665.1;protein_9,GCF_019974055.1;protein_1030,GCF_022923035.1;protein_798,GCF_022925215.1;protein_786,GCF_016748795.1;protein_594,GCF_017821355.1;protein_609,GCF_017821275.1;protein_588,GCF_003636855.2;protein_1246,GCF_030323385.1;protein_753,GCF_002952575.1;protein_746,GCF_017821635.1;protein_933,GCF_006337405.1;protein_650,GCF_002952635.1;protein_750,GCF_001653415.1;protein_653,GCF_022923775.1;protein_664,GCF_017821475.1;protein_584,GCF_002906535.1;protein_612,GCF_051131785.1;protein_716,GCF_020735805.1;protein_1163,GCF_013122035.1;protein_882,GCF_002906555.1;protein_611,GCF_030323485.1;protein_780,GCF_030062605.1;protein_469,GCF_022921575.1;protein_815,GCF_022925945.1;protein_717,GCF_017821595.1;protein_587,GCF_002951975.1;protein_746,GCF_006337745.1;protein_890
GCF_002953555.1;protein_611,GCF_010917155.1;protein_433,GCF_003050665.1;protein_10,GCF_019974055.1;protein_1031,GCF_022923035.1;protein_797,GCF_022925215.1;protein_785,GCF_016748795.1;protein_595,GCF_017821355.1;protein_610,GCF_017821275.1;protein_589,GCF_003636855.2;protein_1245,GCF_030323385.1;protein_754,GCF_002952575.1;protein_747,GCF_017821635.1;protein_932,GCF_006337405.1;protein_649,GCF_002952635.1;protein_751,GCF_001653415.1;protein_654,GCF_022923775.1;protein_665,GCF_017821475.1;protein_585,GCF_002906535.1;protein_613,GCF_051131785.1;protein_717,GCF_020735805.1;protein_1164,GCF_013122035.1;protein_881,GCF_002906555.1;protein_612,GCF_030323485.1;protein_779,GCF_030062605.1;protein_470,GCF_022921575.1;protein_814,GCF_022925945.1;protein_718,GCF_017821595.1;protein_588,GCF_002951975.1;protein_747,GCF_006337745.1;protein_889
GCF_002953555.1;protein_613,GCF_010917155.1;protein_435,GCF_003050665.1;protein_12,GCF_019974055.1;protein_1036,GCF_022923035.1;protein_795,GCF_022925215.1;protein_783,GCF_016748795.1;protein_597,GCF_017821355.1;protein_612,GCF_017821275.1;protein_591,GCF_003636855.2;protein_1243,GCF_030323385.1;protein_756,GCF_002952575.1;protein_749,GCF_017821635.1;protein_930,GCF_006337405.1;protein_647,GCF_002952635.1;protein_753,GCF_001653415.1;protein_656,GCF_022923775.1;protein_667,GCF_017821475.1;protein_587,GCF_002906535.1;protein_615,GCF_051131785.1;protein_719,GCF_020735805.1;protein_1166,GCF_013122035.1;protein_879,GCF_002906555.1;protein_614,GCF_030323485.1;protein_777,GCF_030062605.1;protein_472,GCF_022921575.1;protein_812,GCF_022925945.1;protein_720,GCF_017821595.1;protein_590,GCF_002951975.1;protein_749,GCF_006337745.1;protein_887
GCF_002953555.1;protein_614,GCF_010917155.1;protein_436,GCF_003050665.1;protein_13,GCF_019974055.1;protein_1037,GCF_022923035.1;protein_794,GCF_022925215.1;protein_782,GCF_016748795.1;protein_598,GCF_017821355.1;protein_613,GCF_017821275.1;protein_592,GCF_003636855.2;protein_1242,GCF_030323385.1;protein_757,GCF_002952575.1;protein_750,GCF_017821635.1;protein_929,GCF_006337405.1;protein_646,GCF_002952635.1;protein_754,GCF_001653415.1;protein_657,GCF_022923775.1;protein_668,GCF_017821475.1;protein_588,GCF_002906535.1;protein_616,GCF_051131785.1;protein_720,GCF_020735805.1;protein_1167,GCF_013122035.1;protein_878,GCF_002906555.1;protein_615,GCF_030323485.1;protein_776,GCF_030062605.1;protein_473,GCF_022921575.1;protein_811,GCF_022925945.1;protein_721,GCF_017821595.1;protein_591,GCF_002951975.1;protein_750,GCF_006337745.1;protein_886
GCF_002953555.1;protein_615,GCF_010917155.1;protein_437,GCF_003050665.1;protein_14,GCF_019974055.1;protein_1038,GCF_022923035.1;protein_793,GCF_022925215.1;protein_781,GCF_016748795.1;protein_599,GCF_017821355.1;protein_614,GCF_017821275.1;protein_593,GCF_003636855.2;protein_1241,GCF_030323385.1;protein_758,GCF_002952575.1;protein_751,GCF_017821635.1;protein_928,GCF_006337405.1;protein_645,GCF_002952635.1;protein_755,GCF_001653415.1;protein_658,GCF_022923775.1;protein_669,GCF_017821475.1;protein_589,GCF_002906535.1;protein_617,GCF_051131785.1;protein_721,GCF_020735805.1;protein_1168,GCF_013122035.1;protein_877,GCF_002906555.1;protein_616,GCF_030323485.1;protein_775,GCF_030062605.1;protein_474,GCF_022921575.1;protein_810,GCF_022925945.1;protein_722,GCF_017821595.1;protein_592,GCF_002951975.1;protein_751,GCF_006337745.1;protein_885
GCF_002953555.1;protein_616,GCF_010917155.1;protein_438,GCF_003050665.1;protein_15,GCF_019974055.1;protein_1039,GCF_022923035.1;protein_792,GCF_022925215.1;protein_780,GCF_016748795.1;protein_600,GCF_017821355.1;protein_615,GCF_017821275.1;protein_594,GCF_003636855.2;protein_1240,GCF_030323385.1;protein_759,GCF_002952575.1;protein_752,GCF_017821635.1;protein_927,GCF_006337405.1;protein_644,GCF_002952635.1;protein_756,GCF_001653415.1;protein_659,GCF_022923775.1;protein_670,GCF_017821475.1;protein_590,GCF_002906535.1;protein_618,GCF_051131785.1;protein_722,GCF_020735805.1;protein_1169,GCF_013122035.1;protein_876,GCF_002906555.1;protein_617,GCF_030323485.1;protein_774,GCF_030062605.1;protein_475,GCF_022921575.1;protein_809,GCF_022925945.1;protein_723,GCF_017821595.1;protein_593,GCF_002951975.1;protein_752,GCF_006337745.1;protein_884
GCF_002953555.1;protein_617,GCF_010917155.1;protein_439,GCF_003050665.1;protein_16,GCF_019974055.1;protein_1040,GCF_022923035.1;protein_791,GCF_022925215.1;protein_779,GCF_016748795.1;protein_601,GCF_017821355.1;protein_616,GCF_017821275.1;protein_595,GCF_003636855.2;protein_1239,GCF_030323385.1;protein_760,GCF_002952575.1;protein_753,GCF_017821635.1;protein_926,GCF_006337405.1;protein_643,GCF_002952635.1;protein_757,GCF_001653415.1;protein_660,GCF_022923775.1;protein_671,GCF_017821475.1;protein_591,GCF_002906535.1;protein_619,GCF_051131785.1;protein_723,GCF_020735805.1;protein_1170,GCF_013122035.1;protein_875,GCF_002906555.1;protein_618,GCF_030323485.1;protein_773,GCF_030062605.1;protein_476,GCF_022921575.1;protein_808,GCF_022925945.1;protein_724,GCF_017821595.1;protein_594,GCF_002951975.1;protein_753,GCF_006337745.1;protein_883
GCF_002953555.1;protein_618,GCF_010917155.1;protein_440,GCF_003050665.1;protein_17,GCF_019974055.1;protein_1041,GCF_022923035.1;protein_790,GCF_022925215.1;protein_778,GCF_016748795.1;protein_602,GCF_017821355.1;protein_617,GCF_017821275.1;protein_596,GCF_003636855.2;protein_1238,GCF_030323385.1;protein_761,GCF_002952575.1;protein_754,GCF_017821635.1;protein_925,GCF_006337405.1;protein_642,GCF_002952635.1;protein_758,GCF_001653415.1;protein_661,GCF_022923775.1;protein_672,GCF_017821475.1;protein_592,GCF_002906535.1;protein_620,GCF_051131785.1;protein_724,GCF_020735805.1;protein_1171,GCF_013122035.1;protein_874,GCF_002906555.1;protein_619,GCF_030323485.1;protein_772,GCF_030062605.1;protein_477,GCF_022921575.1;protein_807,GCF_022925945.1;protein_725,GCF_017821595.1;protein_595,GCF_002951975.1;protein_754,GCF_006337745.1;protein_882
GCF_002953555.1;protein_620,GCF_010917155.1;protein_442,GCF_003050665.1;protein_19,GCF_019974055.1;protein_1043,GCF_022923035.1;protein_788,GCF_022925215.1;protein_776,GCF_016748795.1;protein_604,GCF_017821355.1;protein_619,GCF_017821275.1;protein_598,GCF_003636855.2;protein_1236,GCF_030323385.1;protein_763,GCF_002952575.1;protein_756,GCF_017821635.1;protein_923,GCF_006337405.1;protein_640,GCF_002952635.1;protein_760,GCF_001653415.1;protein_663,GCF_022923775.1;protein_674,GCF_017821475.1;protein_594,GCF_002906535.1;protein_622,GCF_051131785.1;protein_726,GCF_020735805.1;protein_1173,GCF_013122035.1;protein_872,GCF_002906555.1;protein_621,GCF_030323485.1;protein_770,GCF_030062605.1;protein_479,GCF_022921575.1;protein_805,GCF_022925945.1;protein_727,GCF_017821595.1;protein_597,GCF_002951975.1;protein_756,GCF_006337745.1;protein_880
GCF_002953555.1;protein_622,GCF_010917155.1;protein_444,GCF_003050665.1;protein_21,GCF_019974055.1;protein_1045,GCF_022923035.1;protein_721,GCF_022925215.1;protein_773,GCF_016748795.1;protein_606,GCF_017821355.1;protein_623,GCF_017821275.1;protein_600,GCF_003636855.2;protein_1234,GCF_030323385.1;protein_765,GCF_002952575.1;protein_758,GCF_017821635.1;protein_921,GCF_006337405.1;protein_638,GCF_002952635.1;protein_762,GCF_001653415.1;protein_665,GCF_022923775.1;protein_676,GCF_017821475.1;protein_598,GCF_002906535.1;protein_624,GCF_051131785.1;protein_728,GCF_020735805.1;protein_1175,GCF_013122035.1;protein_870,GCF_002906555.1;protein_623,GCF_030323485.1;protein_768,GCF_030062605.1;protein_481,GCF_022921575.1;protein_710,GCF_022925945.1;protein_729,GCF_017821595.1;protein_601,GCF_002951975.1;protein_758,GCF_006337745.1;protein_878
GCF_002953555.1;protein_623,GCF_010917155.1;protein_445,GCF_003050665.1;protein_22,GCF_019974055.1;protein_1046,GCF_022923035.1;protein_722,GCF_022925215.1;protein_772,GCF_016748795.1;protein_607,GCF_017821355.1;protein_624,GCF_017821275.1;protein_601,GCF_003636855.2;protein_1233,GCF_030323385.1;protein_766,GCF_002952575.1;protein_759,GCF_017821635.1;protein_920,GCF_006337405.1;protein_637,GCF_002952635.1;protein_763,GCF_001653415.1;protein_666,GCF_022923775.1;protein_677,GCF_017821475.1;protein_599,GCF_002906535.1;protein_625,GCF_051131785.1;protein_729,GCF_020735805.1;protein_1176,GCF_013122035.1;protein_869,GCF_002906555.1;protein_624,GCF_030323485.1;protein_767,GCF_030062605.1;protein_482,GCF_022921575.1;protein_711,GCF_022925945.1;protein_730,GCF_017821595.1;protein_602,GCF_002951975.1;protein_759,GCF_006337745.1;protein_877
GCF_002953555.1;protein_626,GCF_010917155.1;protein_450,GCF_003050665.1;protein_26,GCF_019974055.1;protein_1050,GCF_022923035.1;protein_724,GCF_022925215.1;protein_770,GCF_016748795.1;protein_611,GCF_017821355.1;protein_629,GCF_017821275.1;protein_606,GCF_003636855.2;protein_1198,GCF_030323385.1;protein_770,GCF_002952575.1;protein_763,GCF_017821635.1;protein_915,GCF_006337405.1;protein_633,GCF_002952635.1;protein_767,GCF_001653415.1;protein_670,GCF_022923775.1;protein_679,GCF_017821475.1;protein_604,GCF_002906535.1;protein_628,GCF_051131785.1;protein_733,GCF_020735805.1;protein_1180,GCF_013122035.1;protein_865,GCF_002906555.1;protein_627,GCF_030323485.1;protein_763,GCF_030062605.1;protein_486,GCF_022921575.1;protein_713,GCF_022925945.1;protein_732,GCF_017821595.1;protein_607,GCF_002951975.1;protein_763,GCF_006337745.1;protein_872
GCF_002953555.1;protein_627,GCF_010917155.1;protein_451,GCF_003050665.1;protein_27,GCF_019974055.1;protein_1051,GCF_022923035.1;protein_725,GCF_022925215.1;protein_769,GCF_016748795.1;protein_612,GCF_017821355.1;protein_630,GCF_017821275.1;protein_607,GCF_003636855.2;protein_1197,GCF_030323385.1;protein_771,GCF_002952575.1;protein_764,GCF_017821635.1;protein_914,GCF_006337405.1;protein_632,GCF_002952635.1;protein_768,GCF_001653415.1;protein_671,GCF_022923775.1;protein_680,GCF_017821475.1;protein_605,GCF_002906535.1;protein_629,GCF_051131785.1;protein_734,GCF_020735805.1;protein_1181,GCF_013122035.1;protein_864,GCF_002906555.1;protein_628,GCF_030323485.1;protein_762,GCF_030062605.1;protein_487,GCF_022921575.1;protein_714,GCF_022925945.1;protein_733,GCF_017821595.1;protein_608,GCF_002951975.1;protein_764,GCF_006337745.1;protein_871
GCF_002953555.1;protein_628,GCF_010917155.1;protein_452,GCF_003050665.1;protein_28,GCF_019974055.1;protein_1052,GCF_022923035.1;protein_726,GCF_022925215.1;protein_768,GCF_016748795.1;protein_613,GCF_017821355.1;protein_631,GCF_017821275.1;protein_608,GCF_003636855.2;protein_1196,GCF_030323385.1;protein_772,GCF_002952575.1;protein_765,GCF_017821635.1;protein_913,GCF_006337405.1;protein_631,GCF_002952635.1;protein_769,GCF_001653415.1;protein_672,GCF_022923775.1;protein_681,GCF_017821475.1;protein_606,GCF_002906535.1;protein_630,GCF_051131785.1;protein_735,GCF_020735805.1;protein_1182,GCF_013122035.1;protein_863,GCF_002906555.1;protein_629,GCF_030323485.1;protein_761,GCF_030062605.1;protein_488,GCF_022921575.1;protein_715,GCF_022925945.1;protein_734,GCF_017821595.1;protein_609,GCF_002951975.1;protein_765,GCF_006337745.1;protein_870
GCF_002953555.1;protein_629,GCF_010917155.1;protein_453,GCF_003050665.1;protein_29,GCF_019974055.1;protein_1053,GCF_022923035.1;protein_727,GCF_022925215.1;protein_767,GCF_016748795.1;protein_614,GCF_017821355.1;protein_632,GCF_017821275.1;protein_609,GCF_003636855.2;protein_1195,GCF_030323385.1;protein_773,GCF_002952575.1;protein_766,GCF_017821635.1;protein_912,GCF_006337405.1;protein_630,GCF_002952635.1;protein_770,GCF_001653415.1;protein_673,GCF_022923775.1;protein_682,GCF_017821475.1;protein_607,GCF_002906535.1;protein_631,GCF_051131785.1;protein_736,GCF_020735805.1;protein_1183,GCF_013122035.1;protein_862,GCF_002906555.1;protein_630,GCF_030323485.1;protein_760,GCF_030062605.1;protein_489,GCF_022921575.1;protein_716,GCF_022925945.1;protein_735,GCF_017821595.1;protein_610,GCF_002951975.1;protein_766,GCF_006337745.1;protein_869
GCF_002953555.1;protein_63,GCF_010917155.1;protein_158,GCF_003050665.1;protein_1040,GCF_019974055.1;protein_249,GCF_022923035.1;protein_1373,GCF_022925215.1;protein_1325,GCF_016748795.1;protein_62,GCF_017821355.1;protein_62,GCF_017821275.1;protein_61,GCF_003636855.2;protein_179,GCF_030323385.1;protein_216,GCF_002952575.1;protein_1374,GCF_017821635.1;protein_63,GCF_006337405.1;protein_1416,GCF_002952635.1;protein_1379,GCF_001653415.1;protein_118,GCF_022923775.1;protein_1384,GCF_017821475.1;protein_61,GCF_002906535.1;protein_62,GCF_051131785.1;protein_1386,GCF_020735805.1;protein_633,GCF_013122035.1;protein_243,GCF_002906555.1;protein_62,GCF_030323485.1;protein_1340,GCF_030062605.1;protein_233,GCF_022921575.1;protein_1449,GCF_022925945.1;protein_1359,GCF_017821595.1;protein_61,GCF_002951975.1;protein_1375,GCF_006337745.1;protein_1428
GCF_002953555.1;protein_630,GCF_010917155.1;protein_454,GCF_003050665.1;protein_30,GCF_019974055.1;protein_1054,GCF_022923035.1;protein_728,GCF_022925215.1;protein_766,GCF_016748795.1;protein_615,GCF_017821355.1;protein_633,GCF_017821275.1;protein_610,GCF_003636855.2;protein_1194,GCF_030323385.1;protein_774,GCF_002952575.1;protein_767,GCF_017821635.1;protein_911,GCF_006337405.1;protein_629,GCF_002952635.1;protein_771,GCF_001653415.1;protein_674,GCF_022923775.1;protein_683,GCF_017821475.1;protein_608,GCF_002906535.1;protein_632,GCF_051131785.1;protein_737,GCF_020735805.1;protein_1184,GCF_013122035.1;protein_861,GCF_002906555.1;protein_631,GCF_030323485.1;protein_759,GCF_030062605.1;protein_490,GCF_022921575.1;protein_717,GCF_022925945.1;protein_736,GCF_017821595.1;protein_611,GCF_002951975.1;protein_767,GCF_006337745.1;protein_868
GCF_002953555.1;protein_631,GCF_010917155.1;protein_455,GCF_003050665.1;protein_31,GCF_019974055.1;protein_1055,GCF_022923035.1;protein_729,GCF_022925215.1;protein_765,GCF_016748795.1;protein_616,GCF_017821355.1;protein_634,GCF_017821275.1;protein_611,GCF_003636855.2;protein_1193,GCF_030323385.1;protein_775,GCF_002952575.1;protein_768,GCF_017821635.1;protein_910,GCF_006337405.1;protein_628,GCF_002952635.1;protein_772,GCF_001653415.1;protein_675,GCF_022923775.1;protein_684,GCF_017821475.1;protein_609,GCF_002906535.1;protein_633,GCF_051131785.1;protein_738,GCF_020735805.1;protein_1185,GCF_013122035.1;protein_860,GCF_002906555.1;protein_632,GCF_030323485.1;protein_758,GCF_030062605.1;protein_491,GCF_022921575.1;protein_718,GCF_022925945.1;protein_737,GCF_017821595.1;protein_612,GCF_002951975.1;protein_768,GCF_006337745.1;protein_867
GCF_002953555.1;protein_632,GCF_010917155.1;protein_456,GCF_003050665.1;protein_32,GCF_019974055.1;protein_1056,GCF_022923035.1;protein_730,GCF_022925215.1;protein_764,GCF_016748795.1;protein_617,GCF_017821355.1;protein_635,GCF_017821275.1;protein_612,GCF_003636855.2;protein_1192,GCF_030323385.1;protein_776,GCF_002952575.1;protein_769,GCF_017821635.1;protein_909,GCF_006337405.1;protein_627,GCF_002952635.1;protein_773,GCF_001653415.1;protein_676,GCF_022923775.1;protein_685,GCF_017821475.1;protein_610,GCF_002906535.1;protein_634,GCF_051131785.1;protein_739,GCF_020735805.1;protein_1186,GCF_013122035.1;protein_859,GCF_002906555.1;protein_633,GCF_030323485.1;protein_757,GCF_030062605.1;protein_492,GCF_022921575.1;protein_719,GCF_022925945.1;protein_738,GCF_017821595.1;protein_613,GCF_002951975.1;protein_769,GCF_006337745.1;protein_866
GCF_002953555.1;protein_633,GCF_010917155.1;protein_457,GCF_003050665.1;protein_33,GCF_019974055.1;protein_1057,GCF_022923035.1;protein_731,GCF_022925215.1;protein_763,GCF_016748795.1;protein_618,GCF_017821355.1;protein_636,GCF_017821275.1;protein_613,GCF_003636855.2;protein_1191,GCF_030323385.1;protein_777,GCF_002952575.1;protein_770,GCF_017821635.1;protein_908,GCF_006337405.1;protein_626,GCF_002952635.1;protein_774,GCF_001653415.1;protein_677,GCF_022923775.1;protein_686,GCF_017821475.1;protein_611,GCF_002906535.1;protein_635,GCF_051131785.1;protein_740,GCF_020735805.1;protein_1187,GCF_013122035.1;protein_858,GCF_002906555.1;protein_634,GCF_030323485.1;protein_756,GCF_030062605.1;protein_493,GCF_022921575.1;protein_720,GCF_022925945.1;protein_739,GCF_017821595.1;protein_614,GCF_002951975.1;protein_770,GCF_006337745.1;protein_865
GCF_002953555.1;protein_635,GCF_010917155.1;protein_1354,GCF_003050665.1;protein_35,GCF_019974055.1;protein_1059,GCF_022923035.1;protein_733,GCF_022925215.1;protein_761,GCF_016748795.1;protein_620,GCF_017821355.1;protein_638,GCF_017821275.1;protein_615,GCF_003636855.2;protein_1189,GCF_030323385.1;protein_779,GCF_002952575.1;protein_772,GCF_017821635.1;protein_906,GCF_006337405.1;protein_624,GCF_002952635.1;protein_776,GCF_001653415.1;protein_679,GCF_022923775.1;protein_688,GCF_017821475.1;protein_613,GCF_002906535.1;protein_637,GCF_051131785.1;protein_742,GCF_020735805.1;protein_1189,GCF_013122035.1;protein_856,GCF_002906555.1;protein_636,GCF_030323485.1;protein_754,GCF_030062605.1;protein_1398,GCF_022921575.1;protein_722,GCF_022925945.1;protein_741,GCF_017821595.1;protein_616,GCF_002951975.1;protein_772,GCF_006337745.1;protein_863
GCF_002953555.1;protein_636,GCF_010917155.1;protein_1355,GCF_003050665.1;protein_36,GCF_019974055.1;protein_1060,GCF_022923035.1;protein_734,GCF_022925215.1;protein_760,GCF_016748795.1;protein_621,GCF_017821355.1;protein_639,GCF_017821275.1;protein_616,GCF_003636855.2;protein_1188,GCF_030323385.1;protein_780,GCF_002952575.1;protein_773,GCF_017821635.1;protein_905,GCF_006337405.1;protein_623,GCF_002952635.1;protein_777,GCF_001653415.1;protein_680,GCF_022923775.1;protein_689,GCF_017821475.1;protein_614,GCF_002906535.1;protein_638,GCF_051131785.1;protein_743,GCF_020735805.1;protein_1190,GCF_013122035.1;protein_855,GCF_002906555.1;protein_637,GCF_030323485.1;protein_753,GCF_030062605.1;protein_1397,GCF_022921575.1;protein_723,GCF_022925945.1;protein_742,GCF_017821595.1;protein_617,GCF_002951975.1;protein_773,GCF_006337745.1;protein_862
GCF_002953555.1;protein_637,GCF_010917155.1;protein_1356,GCF_003050665.1;protein_37,GCF_019974055.1;protein_1061,GCF_022923035.1;protein_735,GCF_022925215.1;protein_759,GCF_016748795.1;protein_622,GCF_017821355.1;protein_640,GCF_017821275.1;protein_617,GCF_003636855.2;protein_1187,GCF_030323385.1;protein_781,GCF_002952575.1;protein_774,GCF_017821635.1;protein_904,GCF_006337405.1;protein_622,GCF_002952635.1;protein_778,GCF_001653415.1;protein_681,GCF_022923775.1;protein_690,GCF_017821475.1;protein_615,GCF_002906535.1;protein_639,GCF_051131785.1;protein_744,GCF_020735805.1;protein_1191,GCF_013122035.1;protein_854,GCF_002906555.1;protein_638,GCF_030323485.1;protein_752,GCF_030062605.1;protein_1396,GCF_022921575.1;protein_724,GCF_022925945.1;protein_743,GCF_017821595.1;protein_618,GCF_002951975.1;protein_774,GCF_006337745.1;protein_861
GCF_002953555.1;protein_638,GCF_010917155.1;protein_1357,GCF_003050665.1;protein_38,GCF_019974055.1;protein_1062,GCF_022923035.1;protein_736,GCF_022925215.1;protein_758,GCF_016748795.1;protein_623,GCF_017821355.1;protein_641,GCF_017821275.1;protein_618,GCF_003636855.2;protein_1186,GCF_030323385.1;protein_782,GCF_002952575.1;protein_775,GCF_017821635.1;protein_903,GCF_006337405.1;protein_621,GCF_002952635.1;protein_779,GCF_001653415.1;protein_682,GCF_022923775.1;protein_691,GCF_017821475.1;protein_616,GCF_002906535.1;protein_640,GCF_051131785.1;protein_745,GCF_020735805.1;protein_1192,GCF_013122035.1;protein_853,GCF_002906555.1;protein_639,GCF_030323485.1;protein_751,GCF_030062605.1;protein_1395,GCF_022921575.1;protein_725,GCF_022925945.1;protein_744,GCF_017821595.1;protein_619,GCF_002951975.1;protein_775,GCF_006337745.1;protein_860
GCF_002953555.1;protein_639,GCF_010917155.1;protein_1358,GCF_003050665.1;protein_39,GCF_019974055.1;protein_1063,GCF_022923035.1;protein_737,GCF_022925215.1;protein_757,GCF_016748795.1;protein_624,GCF_017821355.1;protein_642,GCF_017821275.1;protein_619,GCF_003636855.2;protein_1185,GCF_030323385.1;protein_783,GCF_002952575.1;protein_776,GCF_017821635.1;protein_902,GCF_006337405.1;protein_620,GCF_002952635.1;protein_780,GCF_001653415.1;protein_683,GCF_022923775.1;protein_692,GCF_017821475.1;protein_617,GCF_002906535.1;protein_641,GCF_051131785.1;protein_746,GCF_020735805.1;protein_1193,GCF_013122035.1;protein_852,GCF_002906555.1;protein_640,GCF_030323485.1;protein_750,GCF_030062605.1;protein_1394,GCF_022921575.1;protein_726,GCF_022925945.1;protein_745,GCF_017821595.1;protein_620,GCF_002951975.1;protein_776,GCF_006337745.1;protein_859
GCF_002953555.1;protein_64,GCF_010917155.1;protein_157,GCF_003050665.1;protein_1041,GCF_019974055.1;protein_250,GCF_022923035.1;protein_1372,GCF_022925215.1;protein_1324,GCF_016748795.1;protein_63,GCF_017821355.1;protein_63,GCF_017821275.1;protein_62,GCF_003636855.2;protein_178,GCF_030323385.1;protein_217,GCF_002952575.1;protein_1373,GCF_017821635.1;protein_64,GCF_006337405.1;protein_1415,GCF_002952635.1;protein_1378,GCF_001653415.1;protein_119,GCF_022923775.1;protein_1383,GCF_017821475.1;protein_62,GCF_002906535.1;protein_63,GCF_051131785.1;protein_1385,GCF_020735805.1;protein_634,GCF_013122035.1;protein_244,GCF_002906555.1;protein_63,GCF_030323485.1;protein_1339,GCF_030062605.1;protein_234,GCF_022921575.1;protein_1450,GCF_022925945.1;protein_1358,GCF_017821595.1;protein_62,GCF_002951975.1;protein_1374,GCF_006337745.1;protein_1427
GCF_002953555.1;protein_640,GCF_010917155.1;protein_1359,GCF_003050665.1;protein_40,GCF_019974055.1;protein_1064,GCF_022923035.1;protein_738,GCF_022925215.1;protein_756,GCF_016748795.1;protein_625,GCF_017821355.1;protein_643,GCF_017821275.1;protein_620,GCF_003636855.2;protein_1184,GCF_030323385.1;protein_784,GCF_002952575.1;protein_777,GCF_017821635.1;protein_901,GCF_006337405.1;protein_619,GCF_002952635.1;protein_781,GCF_001653415.1;protein_684,GCF_022923775.1;protein_693,GCF_017821475.1;protein_618,GCF_002906535.1;protein_642,GCF_051131785.1;protein_747,GCF_020735805.1;protein_1194,GCF_013122035.1;protein_851,GCF_002906555.1;protein_641,GCF_030323485.1;protein_749,GCF_030062605.1;protein_1393,GCF_022921575.1;protein_727,GCF_022925945.1;protein_746,GCF_017821595.1;protein_621,GCF_002951975.1;protein_777,GCF_006337745.1;protein_858
