GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_692,GCF_002128045.1;protein_689,GCF_000319675.2;protein_689,GCF_000027345.1;protein_695,GCF_000283755.1;protein_698,GCF_002127985.1;protein_692,GCF_009947205.1;protein_691,GCF_041931765.1;protein_48,GCF_040256845.1;protein_691,GCF_002128265.1;protein_701,GCF_041931565.1;protein_167,GCF_009944725.1;protein_697,GCF_002128145.1;protein_690,GCF_001558175.1;protein_692,GCF_009942155.1;protein_698,GCF_041931755.1;protein_48,GCF_001272775.1;protein_694,GCF_009939765.1;protein_693,GCF_002355715.1;protein_697,GCF_900660465.1;protein_26,GCF_002128285.1;protein_699,GCF_009944335.1;protein_689,GCF_001272755.1;protein_692,GCF_000733995.1;protein_47,GCF_002090215.1;protein_691,GCF_000319655.2;protein_701,GCF_009947575.1;protein_690,GCF_009945865.1;protein_699,GCF_009943805.1;protein_690,GCF_002090295.1;protein_691,,,,,,,
GCF_910574535.1;protein_693,GCF_002128045.1;protein_690,GCF_000319675.2;protein_690,GCF_000027345.1;protein_696,GCF_000283755.1;protein_699,GCF_002127985.1;protein_693,GCF_009947205.1;protein_692,GCF_041931765.1;protein_49,GCF_040256845.1;protein_692,GCF_002128265.1;protein_702,GCF_041931565.1;protein_168,GCF_009944725.1;protein_698,GCF_002128145.1;protein_691,GCF_001558175.1;protein_693,GCF_009942155.1;protein_699,GCF_041931755.1;protein_49,GCF_001272775.1;protein_695,GCF_009939765.1;protein_694,GCF_002355715.1;protein_698,GCF_900660465.1;protein_25,GCF_002128285.1;protein_700,GCF_009944335.1;protein_690,GCF_001272755.1;protein_693,GCF_000733995.1;protein_48,GCF_002090215.1;protein_692,GCF_000319655.2;protein_702,GCF_009947575.1;protein_691,GCF_009945865.1;protein_700,GCF_009943805.1;protein_691,GCF_002090295.1;protein_692,,,,,,,
GCF_910574535.1;protein_694,GCF_002128045.1;protein_691,GCF_000319675.2;protein_691,GCF_000027345.1;protein_697,GCF_000283755.1;protein_700,GCF_002127985.1;protein_694,GCF_009947205.1;protein_693,GCF_041931765.1;protein_50,GCF_040256845.1;protein_693,GCF_002128265.1;protein_703,GCF_041931565.1;protein_169,GCF_009944725.1;protein_699,GCF_002128145.1;protein_692,GCF_001558175.1;protein_694,GCF_009942155.1;protein_700,GCF_041931755.1;protein_50,GCF_001272775.1;protein_696,GCF_009939765.1;protein_695,GCF_002355715.1;protein_699,GCF_900660465.1;protein_24,GCF_002128285.1;protein_701,GCF_009944335.1;protein_691,GCF_001272755.1;protein_694,GCF_000733995.1;protein_49,GCF_002090215.1;protein_693,GCF_000319655.2;protein_703,GCF_009947575.1;protein_692,GCF_009945865.1;protein_701,GCF_009943805.1;protein_692,GCF_002090295.1;protein_693,,,,,,,
GCF_910574535.1;protein_695,GCF_002128045.1;protein_692,GCF_000319675.2;protein_692,GCF_000027345.1;protein_698,GCF_000283755.1;protein_701,GCF_002127985.1;protein_695,GCF_009947205.1;protein_694,GCF_041931765.1;protein_51,GCF_040256845.1;protein_694,GCF_002128265.1;protein_704,GCF_041931565.1;protein_170,GCF_009944725.1;protein_700,GCF_002128145.1;protein_693,GCF_001558175.1;protein_695,GCF_009942155.1;protein_701,GCF_041931755.1;protein_51,GCF_001272775.1;protein_697,GCF_009939765.1;protein_696,GCF_002355715.1;protein_700,GCF_900660465.1;protein_23,GCF_002128285.1;protein_702,GCF_009944335.1;protein_692,GCF_001272755.1;protein_695,GCF_000733995.1;protein_50,GCF_002090215.1;protein_694,GCF_000319655.2;protein_704,GCF_009947575.1;protein_693,GCF_009945865.1;protein_702,GCF_009943805.1;protein_693,GCF_002090295.1;protein_694,,,,,,,
GCF_910574535.1;protein_696,GCF_002128045.1;protein_693,GCF_000319675.2;protein_693,GCF_000027345.1;protein_699,GCF_000283755.1;protein_702,GCF_002127985.1;protein_696,GCF_009947205.1;protein_695,GCF_041931765.1;protein_52,GCF_040256845.1;protein_695,GCF_002128265.1;protein_705,GCF_041931565.1;protein_171,GCF_009944725.1;protein_701,GCF_002128145.1;protein_694,GCF_001558175.1;protein_696,GCF_009942155.1;protein_702,GCF_041931755.1;protein_52,GCF_001272775.1;protein_698,GCF_009939765.1;protein_697,GCF_002355715.1;protein_701,GCF_900660465.1;protein_22,GCF_002128285.1;protein_703,GCF_009944335.1;protein_693,GCF_001272755.1;protein_696,GCF_000733995.1;protein_51,GCF_002090215.1;protein_695,GCF_000319655.2;protein_705,GCF_009947575.1;protein_694,GCF_009945865.1;protein_703,GCF_009943805.1;protein_694,GCF_002090295.1;protein_695,,,,,,,
GCF_910574535.1;protein_697,GCF_002128045.1;protein_694,GCF_000319675.2;protein_694,GCF_000027345.1;protein_700,GCF_000283755.1;protein_703,GCF_002127985.1;protein_697,GCF_009947205.1;protein_696,GCF_041931765.1;protein_53,GCF_040256845.1;protein_696,GCF_002128265.1;protein_706,GCF_041931565.1;protein_172,GCF_009944725.1;protein_702,GCF_002128145.1;protein_695,GCF_001558175.1;protein_697,GCF_009942155.1;protein_703,GCF_041931755.1;protein_53,GCF_001272775.1;protein_699,GCF_009939765.1;protein_698,GCF_002355715.1;protein_702,GCF_900660465.1;protein_21,GCF_002128285.1;protein_704,GCF_009944335.1;protein_694,GCF_001272755.1;protein_697,GCF_000733995.1;protein_52,GCF_002090215.1;protein_696,GCF_000319655.2;protein_706,GCF_009947575.1;protein_695,GCF_009945865.1;protein_704,GCF_009943805.1;protein_695,GCF_002090295.1;protein_696,,,,,,,
GCF_910574535.1;protein_698,GCF_002128045.1;protein_695,GCF_000319675.2;protein_695,GCF_000027345.1;protein_701,GCF_000283755.1;protein_704,GCF_002127985.1;protein_698,GCF_009947205.1;protein_697,GCF_041931765.1;protein_54,GCF_040256845.1;protein_697,GCF_002128265.1;protein_707,GCF_041931565.1;protein_173,GCF_009944725.1;protein_703,GCF_002128145.1;protein_696,GCF_001558175.1;protein_698,GCF_009942155.1;protein_704,GCF_041931755.1;protein_54,GCF_001272775.1;protein_700,GCF_009939765.1;protein_699,GCF_002355715.1;protein_703,GCF_900660465.1;protein_20,GCF_002128285.1;protein_705,GCF_009944335.1;protein_695,GCF_001272755.1;protein_698,GCF_000733995.1;protein_53,GCF_002090215.1;protein_697,GCF_000319655.2;protein_707,GCF_009947575.1;protein_696,GCF_009945865.1;protein_705,GCF_009943805.1;protein_696,GCF_002090295.1;protein_697,,,,,,,
GCF_910574535.1;protein_699,GCF_002128045.1;protein_696,GCF_000319675.2;protein_696,GCF_000027345.1;protein_702,GCF_000283755.1;protein_705,GCF_002127985.1;protein_699,GCF_009947205.1;protein_698,GCF_041931765.1;protein_55,GCF_040256845.1;protein_698,GCF_002128265.1;protein_708,GCF_041931565.1;protein_174,GCF_009944725.1;protein_704,GCF_002128145.1;protein_697,GCF_001558175.1;protein_699,GCF_009942155.1;protein_705,GCF_041931755.1;protein_55,GCF_001272775.1;protein_701,GCF_009939765.1;protein_700,GCF_002355715.1;protein_704,GCF_900660465.1;protein_19,GCF_002128285.1;protein_706,GCF_009944335.1;protein_696,GCF_001272755.1;protein_699,GCF_000733995.1;protein_54,GCF_002090215.1;protein_698,GCF_000319655.2;protein_708,GCF_009947575.1;protein_697,GCF_009945865.1;protein_706,GCF_009943805.1;protein_697,GCF_002090295.1;protein_698,,,,,,,
GCF_910574535.1;protein_7,GCF_002128045.1;protein_7,GCF_000319675.2;protein_7,GCF_000027345.1;protein_7,GCF_000283755.1;protein_7,GCF_002127985.1;protein_7,GCF_009947205.1;protein_7,GCF_041931765.1;protein_84,GCF_040256845.1;protein_7,GCF_002128265.1;protein_7,GCF_041931565.1;protein_203,GCF_009944725.1;protein_7,GCF_002128145.1;protein_7,GCF_001558175.1;protein_7,GCF_009942155.1;protein_7,GCF_041931755.1;protein_84,GCF_001272775.1;protein_7,GCF_009939765.1;protein_7,GCF_002355715.1;protein_7,GCF_900660465.1;protein_720,GCF_002128285.1;protein_7,GCF_009944335.1;protein_7,GCF_001272755.1;protein_7,GCF_000733995.1;protein_83,GCF_002090215.1;protein_7,GCF_000319655.2;protein_7,GCF_009947575.1;protein_7,GCF_009945865.1;protein_7,GCF_009943805.1;protein_7,GCF_002090295.1;protein_7,,,,,,,
GCF_910574535.1;protein_70,GCF_002128045.1;protein_69,GCF_000319675.2;protein_69,GCF_000027345.1;protein_70,GCF_000283755.1;protein_69,GCF_002127985.1;protein_70,GCF_009947205.1;protein_70,GCF_041931765.1;protein_147,GCF_040256845.1;protein_69,GCF_002128265.1;protein_69,GCF_041931565.1;protein_266,GCF_009944725.1;protein_70,GCF_002128145.1;protein_70,GCF_001558175.1;protein_69,GCF_009942155.1;protein_69,GCF_041931755.1;protein_146,GCF_001272775.1;protein_70,GCF_009939765.1;protein_70,GCF_002355715.1;protein_69,GCF_900660465.1;protein_657,GCF_002128285.1;protein_70,GCF_009944335.1;protein_70,GCF_001272755.1;protein_70,GCF_000733995.1;protein_146,GCF_002090215.1;protein_69,GCF_000319655.2;protein_70,GCF_009947575.1;protein_70,GCF_009945865.1;protein_70,GCF_009943805.1;protein_70,GCF_002090295.1;protein_70,,,,,,,
GCF_910574535.1;protein_700,GCF_002128045.1;protein_697,GCF_000319675.2;protein_697,GCF_000027345.1;protein_703,GCF_000283755.1;protein_706,GCF_002127985.1;protein_700,GCF_009947205.1;protein_699,GCF_041931765.1;protein_56,GCF_040256845.1;protein_699,GCF_002128265.1;protein_709,GCF_041931565.1;protein_175,GCF_009944725.1;protein_705,GCF_002128145.1;protein_698,GCF_001558175.1;protein_700,GCF_009942155.1;protein_706,GCF_041931755.1;protein_56,GCF_001272775.1;protein_702,GCF_009939765.1;protein_701,GCF_002355715.1;protein_705,GCF_900660465.1;protein_18,GCF_002128285.1;protein_707,GCF_009944335.1;protein_697,GCF_001272755.1;protein_700,GCF_000733995.1;protein_55,GCF_002090215.1;protein_699,GCF_000319655.2;protein_709,GCF_009947575.1;protein_698,GCF_009945865.1;protein_707,GCF_009943805.1;protein_698,GCF_002090295.1;protein_699,,,,,,,
GCF_910574535.1;protein_701,GCF_002128045.1;protein_698,GCF_000319675.2;protein_698,GCF_000027345.1;protein_704,GCF_000283755.1;protein_707,GCF_002127985.1;protein_701,GCF_009947205.1;protein_700,GCF_041931765.1;protein_57,GCF_040256845.1;protein_700,GCF_002128265.1;protein_710,GCF_041931565.1;protein_176,GCF_009944725.1;protein_706,GCF_002128145.1;protein_699,GCF_001558175.1;protein_701,GCF_009942155.1;protein_707,GCF_041931755.1;protein_57,GCF_001272775.1;protein_703,GCF_009939765.1;protein_702,GCF_002355715.1;protein_706,GCF_900660465.1;protein_17,GCF_002128285.1;protein_708,GCF_009944335.1;protein_698,GCF_001272755.1;protein_701,GCF_000733995.1;protein_56,GCF_002090215.1;protein_700,GCF_000319655.2;protein_710,GCF_009947575.1;protein_699,GCF_009945865.1;protein_708,GCF_009943805.1;protein_699,GCF_002090295.1;protein_700,,,,,,,
GCF_910574535.1;protein_702,GCF_002128045.1;protein_699,GCF_000319675.2;protein_699,GCF_000027345.1;protein_705,GCF_000283755.1;protein_708,GCF_002127985.1;protein_702,GCF_009947205.1;protein_701,GCF_041931765.1;protein_58,GCF_040256845.1;protein_701,GCF_002128265.1;protein_711,GCF_041931565.1;protein_177,GCF_009944725.1;protein_707,GCF_002128145.1;protein_700,GCF_001558175.1;protein_702,GCF_009942155.1;protein_708,GCF_041931755.1;protein_58,GCF_001272775.1;protein_704,GCF_009939765.1;protein_703,GCF_002355715.1;protein_707,GCF_900660465.1;protein_16,GCF_002128285.1;protein_709,GCF_009944335.1;protein_699,GCF_001272755.1;protein_702,GCF_000733995.1;protein_57,GCF_002090215.1;protein_701,GCF_000319655.2;protein_711,GCF_009947575.1;protein_700,GCF_009945865.1;protein_709,GCF_009943805.1;protein_700,GCF_002090295.1;protein_701,,,,,,,
GCF_910574535.1;protein_703,GCF_002128045.1;protein_700,GCF_000319675.2;protein_700,GCF_000027345.1;protein_706,GCF_000283755.1;protein_709,GCF_002127985.1;protein_703,GCF_009947205.1;protein_702,GCF_041931765.1;protein_59,GCF_040256845.1;protein_702,GCF_002128265.1;protein_712,GCF_041931565.1;protein_178,GCF_009944725.1;protein_708,GCF_002128145.1;protein_701,GCF_001558175.1;protein_703,GCF_009942155.1;protein_709,GCF_041931755.1;protein_59,GCF_001272775.1;protein_705,GCF_009939765.1;protein_704,GCF_002355715.1;protein_708,GCF_900660465.1;protein_15,GCF_002128285.1;protein_710,GCF_009944335.1;protein_700,GCF_001272755.1;protein_703,GCF_000733995.1;protein_58,GCF_002090215.1;protein_702,GCF_000319655.2;protein_712,GCF_009947575.1;protein_701,GCF_009945865.1;protein_710,GCF_009943805.1;protein_701,GCF_002090295.1;protein_702,,,,,,,
GCF_910574535.1;protein_704,GCF_002128045.1;protein_701,GCF_000319675.2;protein_701,GCF_000027345.1;protein_707,GCF_000283755.1;protein_710,GCF_002127985.1;protein_704,GCF_009947205.1;protein_703,GCF_041931765.1;protein_60,GCF_040256845.1;protein_703,GCF_002128265.1;protein_713,GCF_041931565.1;protein_179,GCF_009944725.1;protein_709,GCF_002128145.1;protein_702,GCF_001558175.1;protein_704,GCF_009942155.1;protein_710,GCF_041931755.1;protein_60,GCF_001272775.1;protein_706,GCF_009939765.1;protein_705,GCF_002355715.1;protein_709,GCF_900660465.1;protein_14,GCF_002128285.1;protein_711,GCF_009944335.1;protein_701,GCF_001272755.1;protein_704,GCF_000733995.1;protein_59,GCF_002090215.1;protein_703,GCF_000319655.2;protein_713,GCF_009947575.1;protein_702,GCF_009945865.1;protein_711,GCF_009943805.1;protein_702,GCF_002090295.1;protein_703,,,,,,,
GCF_910574535.1;protein_705,GCF_002128045.1;protein_702,GCF_000319675.2;protein_702,GCF_000027345.1;protein_708,GCF_000283755.1;protein_711,GCF_002127985.1;protein_705,GCF_009947205.1;protein_704,GCF_041931765.1;protein_61,GCF_040256845.1;protein_704,GCF_002128265.1;protein_714,GCF_041931565.1;protein_180,GCF_009944725.1;protein_710,GCF_002128145.1;protein_703,GCF_001558175.1;protein_705,GCF_009942155.1;protein_711,GCF_041931755.1;protein_61,GCF_001272775.1;protein_707,GCF_009939765.1;protein_706,GCF_002355715.1;protein_710,GCF_900660465.1;protein_13,GCF_002128285.1;protein_712,GCF_009944335.1;protein_702,GCF_001272755.1;protein_705,GCF_000733995.1;protein_60,GCF_002090215.1;protein_704,GCF_000319655.2;protein_714,GCF_009947575.1;protein_703,GCF_009945865.1;protein_712,GCF_009943805.1;protein_703,GCF_002090295.1;protein_704,,,,,,,
GCF_910574535.1;protein_706,GCF_002128045.1;protein_703,GCF_000319675.2;protein_703,GCF_000027345.1;protein_709,GCF_000283755.1;protein_712,GCF_002127985.1;protein_706,GCF_009947205.1;protein_705,GCF_041931765.1;protein_62,GCF_040256845.1;protein_705,GCF_002128265.1;protein_715,GCF_041931565.1;protein_181,GCF_009944725.1;protein_711,GCF_002128145.1;protein_704,GCF_001558175.1;protein_706,GCF_009942155.1;protein_712,GCF_041931755.1;protein_62,GCF_001272775.1;protein_708,GCF_009939765.1;protein_707,GCF_002355715.1;protein_711,GCF_900660465.1;protein_12,GCF_002128285.1;protein_713,GCF_009944335.1;protein_703,GCF_001272755.1;protein_706,GCF_000733995.1;protein_61,GCF_002090215.1;protein_705,GCF_000319655.2;protein_715,GCF_009947575.1;protein_704,GCF_009945865.1;protein_713,GCF_009943805.1;protein_704,GCF_002090295.1;protein_705,,,,,,,
GCF_910574535.1;protein_707,GCF_002128045.1;protein_704,GCF_000319675.2;protein_704,GCF_000027345.1;protein_710,GCF_000283755.1;protein_713,GCF_002127985.1;protein_707,GCF_009947205.1;protein_706,GCF_041931765.1;protein_63,GCF_040256845.1;protein_706,GCF_002128265.1;protein_716,GCF_041931565.1;protein_182,GCF_009944725.1;protein_712,GCF_002128145.1;protein_705,GCF_001558175.1;protein_707,GCF_009942155.1;protein_713,GCF_041931755.1;protein_63,GCF_001272775.1;protein_709,GCF_009939765.1;protein_708,GCF_002355715.1;protein_712,GCF_900660465.1;protein_11,GCF_002128285.1;protein_714,GCF_009944335.1;protein_704,GCF_001272755.1;protein_707,GCF_000733995.1;protein_62,GCF_002090215.1;protein_706,GCF_000319655.2;protein_716,GCF_009947575.1;protein_705,GCF_009945865.1;protein_714,GCF_009943805.1;protein_705,GCF_002090295.1;protein_706,,,,,,,
GCF_910574535.1;protein_708,GCF_002128045.1;protein_705,GCF_000319675.2;protein_705,GCF_000027345.1;protein_711,GCF_000283755.1;protein_714,GCF_002127985.1;protein_708,GCF_009947205.1;protein_707,GCF_041931765.1;protein_64,GCF_040256845.1;protein_707,GCF_002128265.1;protein_717,GCF_041931565.1;protein_183,GCF_009944725.1;protein_713,GCF_002128145.1;protein_706,GCF_001558175.1;protein_708,GCF_009942155.1;protein_714,GCF_041931755.1;protein_64,GCF_001272775.1;protein_710,GCF_009939765.1;protein_709,GCF_002355715.1;protein_713,GCF_900660465.1;protein_10,GCF_002128285.1;protein_715,GCF_009944335.1;protein_705,GCF_001272755.1;protein_708,GCF_000733995.1;protein_63,GCF_002090215.1;protein_707,GCF_000319655.2;protein_717,GCF_009947575.1;protein_706,GCF_009945865.1;protein_715,GCF_009943805.1;protein_706,GCF_002090295.1;protein_707,,,,,,,
GCF_910574535.1;protein_709,GCF_002128045.1;protein_706,GCF_000319675.2;protein_706,GCF_000027345.1;protein_712,GCF_000283755.1;protein_715,GCF_002127985.1;protein_709,GCF_009947205.1;protein_708,GCF_041931765.1;protein_65,GCF_040256845.1;protein_708,GCF_002128265.1;protein_718,GCF_041931565.1;protein_184,GCF_009944725.1;protein_714,GCF_002128145.1;protein_707,GCF_001558175.1;protein_709,GCF_009942155.1;protein_715,GCF_041931755.1;protein_65,GCF_001272775.1;protein_711,GCF_009939765.1;protein_710,GCF_002355715.1;protein_714,GCF_900660465.1;protein_9,GCF_002128285.1;protein_716,GCF_009944335.1;protein_706,GCF_001272755.1;protein_709,GCF_000733995.1;protein_64,GCF_002090215.1;protein_708,GCF_000319655.2;protein_718,GCF_009947575.1;protein_707,GCF_009945865.1;protein_716,GCF_009943805.1;protein_707,GCF_002090295.1;protein_708,,,,,,,
GCF_910574535.1;protein_71,GCF_002128045.1;protein_70,GCF_000319675.2;protein_70,GCF_000027345.1;protein_71,GCF_000283755.1;protein_70,GCF_002127985.1;protein_71,GCF_009947205.1;protein_71,GCF_041931765.1;protein_148,GCF_040256845.1;protein_70,GCF_002128265.1;protein_70,GCF_041931565.1;protein_267,GCF_009944725.1;protein_71,GCF_002128145.1;protein_71,GCF_001558175.1;protein_70,GCF_009942155.1;protein_70,GCF_041931755.1;protein_147,GCF_001272775.1;protein_71,GCF_009939765.1;protein_71,GCF_002355715.1;protein_70,GCF_900660465.1;protein_656,GCF_002128285.1;protein_71,GCF_009944335.1;protein_71,GCF_001272755.1;protein_71,GCF_000733995.1;protein_147,GCF_002090215.1;protein_70,GCF_000319655.2;protein_71,GCF_009947575.1;protein_71,GCF_009945865.1;protein_71,GCF_009943805.1;protein_71,GCF_002090295.1;protein_71,,,,,,,
GCF_910574535.1;protein_710,GCF_002128045.1;protein_707,GCF_000319675.2;protein_707,GCF_000027345.1;protein_713,GCF_000283755.1;protein_716,GCF_002127985.1;protein_710,GCF_009947205.1;protein_709,GCF_041931765.1;protein_66,GCF_040256845.1;protein_709,GCF_002128265.1;protein_719,GCF_041931565.1;protein_185,GCF_009944725.1;protein_715,GCF_002128145.1;protein_708,GCF_001558175.1;protein_710,GCF_009942155.1;protein_716,GCF_041931755.1;protein_66,GCF_001272775.1;protein_712,GCF_009939765.1;protein_711,GCF_002355715.1;protein_715,GCF_900660465.1;protein_8,GCF_002128285.1;protein_717,GCF_009944335.1;protein_707,GCF_001272755.1;protein_710,GCF_000733995.1;protein_65,GCF_002090215.1;protein_709,GCF_000319655.2;protein_719,GCF_009947575.1;protein_708,GCF_009945865.1;protein_717,GCF_009943805.1;protein_708,GCF_002090295.1;protein_709,,,,,,,
GCF_910574535.1;protein_711,GCF_002128045.1;protein_708,GCF_000319675.2;protein_708,GCF_000027345.1;protein_714,GCF_000283755.1;protein_717,GCF_002127985.1;protein_711,GCF_009947205.1;protein_710,GCF_041931765.1;protein_67,GCF_040256845.1;protein_710,GCF_002128265.1;protein_720,GCF_041931565.1;protein_186,GCF_009944725.1;protein_716,GCF_002128145.1;protein_709,GCF_001558175.1;protein_711,GCF_009942155.1;protein_717,GCF_041931755.1;protein_67,GCF_001272775.1;protein_713,GCF_009939765.1;protein_712,GCF_002355715.1;protein_716,GCF_900660465.1;protein_7,GCF_002128285.1;protein_718,GCF_009944335.1;protein_708,GCF_001272755.1;protein_711,GCF_000733995.1;protein_66,GCF_002090215.1;protein_710,GCF_000319655.2;protein_720,GCF_009947575.1;protein_709,GCF_009945865.1;protein_718,GCF_009943805.1;protein_709,GCF_002090295.1;protein_710,,,,,,,
GCF_910574535.1;protein_712,GCF_002128045.1;protein_709,GCF_000319675.2;protein_709,GCF_000027345.1;protein_715,GCF_000283755.1;protein_718,GCF_002127985.1;protein_712,GCF_009947205.1;protein_711,GCF_041931765.1;protein_68,GCF_040256845.1;protein_711,GCF_002128265.1;protein_721,GCF_041931565.1;protein_187,GCF_009944725.1;protein_717,GCF_002128145.1;protein_710,GCF_001558175.1;protein_712,GCF_009942155.1;protein_718,GCF_041931755.1;protein_68,GCF_001272775.1;protein_714,GCF_009939765.1;protein_713,GCF_002355715.1;protein_717,GCF_900660465.1;protein_6,GCF_002128285.1;protein_719,GCF_009944335.1;protein_709,GCF_001272755.1;protein_712,GCF_000733995.1;protein_67,GCF_002090215.1;protein_711,GCF_000319655.2;protein_721,GCF_009947575.1;protein_710,GCF_009945865.1;protein_719,GCF_009943805.1;protein_710,GCF_002090295.1;protein_711,,,,,,,
GCF_910574535.1;protein_713,GCF_002128045.1;protein_710,GCF_000319675.2;protein_710,GCF_000027345.1;protein_716,GCF_000283755.1;protein_719,GCF_002127985.1;protein_713,GCF_009947205.1;protein_712,GCF_041931765.1;protein_69,GCF_040256845.1;protein_712,GCF_002128265.1;protein_722,GCF_041931565.1;protein_188,GCF_009944725.1;protein_718,GCF_002128145.1;protein_711,GCF_001558175.1;protein_713,GCF_009942155.1;protein_719,GCF_041931755.1;protein_69,GCF_001272775.1;protein_715,GCF_009939765.1;protein_714,GCF_002355715.1;protein_718,GCF_900660465.1;protein_5,GCF_002128285.1;protein_720,GCF_009944335.1;protein_710,GCF_001272755.1;protein_713,GCF_000733995.1;protein_68,GCF_002090215.1;protein_712,GCF_000319655.2;protein_722,GCF_009947575.1;protein_711,GCF_009945865.1;protein_720,GCF_009943805.1;protein_711,GCF_002090295.1;protein_712,,,,,,,
GCF_910574535.1;protein_714,GCF_002128045.1;protein_711,GCF_000319675.2;protein_711,GCF_000027345.1;protein_717,GCF_000283755.1;protein_720,GCF_002127985.1;protein_714,GCF_009947205.1;protein_713,GCF_041931765.1;protein_70,GCF_040256845.1;protein_713,GCF_002128265.1;protein_723,GCF_041931565.1;protein_189,GCF_009944725.1;protein_719,GCF_002128145.1;protein_712,GCF_001558175.1;protein_714,GCF_009942155.1;protein_720,GCF_041931755.1;protein_70,GCF_001272775.1;protein_716,GCF_009939765.1;protein_715,GCF_002355715.1;protein_719,GCF_900660465.1;protein_4,GCF_002128285.1;protein_721,GCF_009944335.1;protein_711,GCF_001272755.1;protein_714,GCF_000733995.1;protein_69,GCF_002090215.1;protein_713,GCF_000319655.2;protein_723,GCF_009947575.1;protein_712,GCF_009945865.1;protein_721,GCF_009943805.1;protein_712,GCF_002090295.1;protein_713,,,,,,,
GCF_910574535.1;protein_715,GCF_002128045.1;protein_712,GCF_000319675.2;protein_712,GCF_000027345.1;protein_718,GCF_000283755.1;protein_721,GCF_002127985.1;protein_715,GCF_009947205.1;protein_714,GCF_041931765.1;protein_71,GCF_040256845.1;protein_714,GCF_002128265.1;protein_724,GCF_041931565.1;protein_190,GCF_009944725.1;protein_720,GCF_002128145.1;protein_713,GCF_001558175.1;protein_715,GCF_009942155.1;protein_721,GCF_041931755.1;protein_71,GCF_001272775.1;protein_717,GCF_009939765.1;protein_716,GCF_002355715.1;protein_720,GCF_900660465.1;protein_3,GCF_002128285.1;protein_722,GCF_009944335.1;protein_712,GCF_001272755.1;protein_715,GCF_000733995.1;protein_70,GCF_002090215.1;protein_714,GCF_000319655.2;protein_724,GCF_009947575.1;protein_713,GCF_009945865.1;protein_722,GCF_009943805.1;protein_713,GCF_002090295.1;protein_714,,,,,,,
GCF_910574535.1;protein_716,GCF_002128045.1;protein_713,GCF_000319675.2;protein_713,GCF_000027345.1;protein_719,GCF_000283755.1;protein_722,GCF_002127985.1;protein_716,GCF_009947205.1;protein_715,GCF_041931765.1;protein_72,GCF_040256845.1;protein_715,GCF_002128265.1;protein_725,GCF_041931565.1;protein_191,GCF_009944725.1;protein_721,GCF_002128145.1;protein_714,GCF_001558175.1;protein_716,GCF_009942155.1;protein_722,GCF_041931755.1;protein_72,GCF_001272775.1;protein_718,GCF_009939765.1;protein_717,GCF_002355715.1;protein_721,GCF_900660465.1;protein_2,GCF_002128285.1;protein_723,GCF_009944335.1;protein_713,GCF_001272755.1;protein_716,GCF_000733995.1;protein_71,GCF_002090215.1;protein_715,GCF_000319655.2;protein_725,GCF_009947575.1;protein_714,GCF_009945865.1;protein_723,GCF_009943805.1;protein_714,GCF_002090295.1;protein_715,,,,,,,
GCF_910574535.1;protein_717,GCF_002128045.1;protein_714,GCF_000319675.2;protein_714,GCF_000027345.1;protein_720,GCF_000283755.1;protein_723,GCF_002127985.1;protein_717,GCF_009947205.1;protein_716,GCF_041931765.1;protein_73,GCF_040256845.1;protein_716,GCF_002128265.1;protein_726,GCF_041931565.1;protein_192,GCF_009944725.1;protein_722,GCF_002128145.1;protein_715,GCF_001558175.1;protein_717,GCF_009942155.1;protein_723,GCF_041931755.1;protein_73,GCF_001272775.1;protein_719,GCF_009939765.1;protein_718,GCF_002355715.1;protein_722,GCF_900660465.1;protein_1,GCF_002128285.1;protein_724,GCF_009944335.1;protein_714,GCF_001272755.1;protein_717,GCF_000733995.1;protein_72,GCF_002090215.1;protein_716,GCF_000319655.2;protein_726,GCF_009947575.1;protein_715,GCF_009945865.1;protein_724,GCF_009943805.1;protein_715,GCF_002090295.1;protein_716,,,,,,,
